Body,Sentiment,Date,Rating,Clean_Body,Tema_Dominante
"si pudiera no le diera ni una sola estrella esta aplicación bancaria es un chiste, pide permisos para cosas sin sentido como el micrófono o cámara, por si no fuera poco la aplicación pide que acudas a la sucursal para darle uso a la misma aplicación (cosa que no pasa en otras aplicaciones bancarias), además de esto a la hora de hacer compras online el código dinámico CVV no funciona y al acudir a la sucursal varias veces ni ellos mismos saben el problema, un chiste de aplicación sin dudas....",negative,23/09/2023,1,si pud dier sol estrell aplic bancari chist pid permis cos microfon cam si aplic pid acud sucursal darl uso mism aplic cos pas aplic bancari ademas hor hac compr onlin codig dinam cvv funcion acud sucursal vari vec mism sab problem chist aplic dud,0
"Pésimo, se que ahora quieren tener más seguridad en la banca electrónica pero a los que tenemos a 2 horas la sucursal más cercana de coppel se me dificulta acudir para que me activen la banca, yo antes lo hacía desde mi celular sin problemas cuando cambiaba mi dispositivo y ahora tengo mi dinero retenido hasta que pueda ir a gastar más de 400 pesos en transporte a sus sucursales, gracias bancoppel.",negative,23/09/2023,1,pesim ahor quier ten segur banc electron hor sucursal cercan coppel dificult acud activ banc hac celul problem cambi disposit ahor diner reten pued ir gast pes transport sucursal graci bancoppel,3
"Después de los permisos ,no hace mas,ahí estoy encerrada!",negative,23/09/2023,1,despues permis hac mas ahi encerr,2
??,positive,23/09/2023,4,,0
La verdad es inecesario que cada que configure la app tenga que ir a una sucursal.de verian implementar un dato biometrico de detección facial,mixed,23/09/2023,4,verd inecesari cad configur app ir sucursal veri implement dat biometr deteccion facial,2
"Una porquería de app, siempre con el mismo problema nunca solucionan nada.",negative,23/09/2023,1,porqu app siempr mism problem nunc solucion,0
"Muy buena la aplicación, estoy satisfecha con ella",positive,23/09/2023,5,buen aplic satisfech,2
Muy excelente en todo,positive,23/09/2023,5,excelent,2
Muy práctico y fácil de mover,positive,23/09/2023,5,practic facil mov,1
Me está fallando por el tema de la hora,mixed,23/09/2023,4,fall tem hor,3
Excelente,positive,23/09/2023,5,excelent,2
"Pésima aplicación, no puedo pagar en línea, se traba, arreglen ese detalle, mejor dicho ese detallote.????",negative,23/09/2023,1,pesim aplic pued pag line trab arregl detall mejor dich detallot,2
Muy mala la instale en mi nuevo celular y pongo todos los paso todo coinside y x ultimo me dice que la contraseña ya fue utilizada y no me deja entrar ya me oa bloqueo,negative,23/09/2023,1,mal instal nuev celul pong pas coinsid x ultim dic contraseñ utiliz dej entrar oa bloque,3
No pongo ninguna estrella por que para mi no merece ninguna simplemente no sirve es una aplicación muy mala,negative,23/09/2023,1,pong ningun estrell merec ningun simplement sirv aplic mal,0
No esta funcionando,negative,23/09/2023,1,funcion,1
Coppel mejora mí vida ??,positive,23/09/2023,5,coppel mejor vid,0
"Esta app pide permisos de todo, ni bancos internacionales piden tantos datos del teléfono como ellos, gran fallo de seguridad.",negative,23/09/2023,1,app pid permis banc internacional pid tant dat telefon gran fall segur,3
Excelente,positive,23/09/2023,5,excelent,2
Es buena,positive,23/09/2023,5,buen,4
??Estaba funcionando muy bien y ya tiene unos meses fallando y la verdad es una lastima por qué si era muy buena aplicación. ?? Hacía mis pagos y todo sin salir de casa o en cualquier emergencia pero ahora no es posible.,negative,23/09/2023,1,funcion bien mes fall verd lastim si buen aplic hac pag sal cas cualqui emergent ahor posibl,3
Muy buena aplicación,positive,23/09/2023,5,buen aplic,4
Excelente,positive,23/09/2023,5,excelent,2
Super fácil y cómodo de usar y muy ??,positive,23/09/2023,5,sup facil comod usar,1
Desde un tiempo para aca ya no envia notificaciones cuando llegan depositos o realizas pagos.,negative,23/09/2023,2,tiemp aca envi notif lleg deposit realiz pag,2
"Tiene todo para ser chingona la App de BANCOPPEL pero generalmente está muy lenta, tarda mucho en entrar/abrir. Creó que 3 ? es mucho, pero como digo está muy completa solo es eso tarda años luz en cargarce. En verdad que son contadas las veces que trabajando manera eficiente. Ahí programadores pónganle más atención . Jajaja y hasta para captar está opinión está cargando y no termina de cargar jajaja se pasan. Ojo chavos.",negative,23/09/2023,3,ser chingon app bancoppel general lent tard entrar abrir cre dig complet sol tard años luz cargarc verd cont vec trabaj maner eficient ahi program ponganl atencion jajaj capt opinion carg termin carg jajaj pas ojo chav,4
"¿Cómo que activar la app bancoppel en una sucursal?, el chiste es ahorrarse la ida para hacer todo desde línea y sale igual.",negative,23/09/2023,1,com activ app bancoppel sucursal chist ahorr ida hac line sal igual,2
Hasta ahora me ha funcionado bien.,positive,23/09/2023,4,ahor funcion bien,1
Muy bien la app pero empesó a no darme acceso para entrar y ya le ententé hasta poniendo los datos y no mas no.,negative,23/09/2023,2,bien app empes darm acces entrar entent pon dat mas,4
No me deja registrar dice que operación no disponible desde hace mucho y aun no lo solucionan,negative,23/09/2023,1,dej registr dic oper dispon hac aun solucion,4
Esta aplicación ya no funciona,negative,23/09/2023,1,aplic funcion,1
"Es una porquería de aplicación ?? la verdad ni sirve, a pero no fuera para subir precios por que eso siempre. Mejor pasen a guardar su dinero en el colchón.",negative,23/09/2023,1,porqu aplic verd sirv sub preci siempr mejor pas guard diner colchon,1
Se supone que hace unas 2 semanas me apareció las recompensas de Coppel Max pero en esta semana dejaron de aparecer y se supone que deberían de estar,negative,23/09/2023,2,supon hac unas seman aparec recompens coppel max seman dej aparec supon deb,0
"Tengo mucho tiempo usando la app, todo había funcionado muy bien, asta que empezaron a pedir permisos para cosas que la app ni usa, y ese filtro de que si cambias de equipo celular tienes que acudir a una sucursal para activar la aplicación, ya estas entrando con tus datos personales como #telefónico, fecha de nacimiento, correo electrónico, en mi caso no tengo una sucursal serca y no me es redituable hacer viaje a México solo por activar la aplicación, lo mejor será cambiar de banco.",negative,22/09/2023,1,tiemp usand app funcion bien asta empez ped permis cos app usa filtr si cambi equip celul acud sucursal activ aplic entrand dat personal telefon fech nacimient corre electron cas sucursal serc reditu hac viaj mexic sol activ aplic mejor cambi banc,0
Que buena aplicación,positive,22/09/2023,5,buen aplic,4
Excelente,positive,22/09/2023,5,excelent,2
"desde que me dieron la tarjeta por el simple material me parecio mala, hoy fui a sucursal a dar de alta el contrato para acceder y uff una app muy precaria, sin duda 0 recomendable y si es posible mejor busquen otra opcion, la app no es nada accesible para pagar y en lugar de poder pagar directamente te pide que deposites a tu cuenta para pagar de esa cuenta a tu tarjeta (como si no fuera mas rapido solo depositar a tu tarjeta)",negative,22/09/2023,1,dieron tarjet simpl material pareci mal hoy sucursal dar alta contrat acced uff app precari dud recomend si posibl mejor busqu opcion app acces pag lug pod pag direct pid deposit cuent pag cuent tarjet si mas rap sol deposit tarjet,3
"No me ayudó con mí problema de enviar dinero, y ni me contestó llamada telefónica.",negative,22/09/2023,1,ayud problem envi diner contest llam telefon,0
Excelente rápida y eficiente,positive,22/09/2023,5,excelent rap eficient,1
Muy buena aplicación,positive,22/09/2023,5,buen aplic,4
Exelente aplicacion,positive,22/09/2023,5,exelent aplicacion,0
No puedo ingresar ala app,negative,22/09/2023,1,pued ingres ala app,3
Buena,positive,22/09/2023,5,buen,4
